Lyrics,
"[Letra de ""BAILE INoLVIDABLE""]
[Intro]
Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y solamente verte en el atardecer
Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi baile inolvidable
Y fuiste tú mi baile inolvidable
Eh-eh, eh-eh
Eh-eh, eh-eh
[Interludio: Jacobo Morales]
Mientras uno está vivo
Uno debe amar lo más que pueda
[Coro]
Pensaba que contigo iba a envejecer
En otra vida, en otro mundo podrá ser
En esta solo queda irme un día
Y ver pa'l cielo a ver si te veo caer
Si me ven solo y triste, no me hablen
Si me ven solo y triste, soy culpable
La vida es una fiesta que un día termina
Y fuiste tú mi baile inolvidable
[Refrán]
No
, no te puedo olvidar
No
, no te puedo borrar
Tú
 me enseñaste a querer
Me enseñaste a bailar
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
[Verso 1]
Yeah-yeah-yeah-yeah, ey
Dime cómo le hago pa' olvidarte
Hay un paso nuevo que quiero enseñarte
En las noche' ya ni puedo dormir
Lo que hago es soñarte
[Refrán]
No, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
[Verso 2]
Cómo tú me besabas, cómo yo te lo hacía
Cómo tú me mirabas, bellaquito me ponía
Se siente feo no tenerte cerquita
La nueva mama bien, pero no es tu boquita
Mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, ey
[Interludio]
'To suena cabrón
Vamo' a hacerlo otra ve'
Como anoche, como anoche
Tan-tan, ta-na-na, ta-na-na
Aprieta, chamaquito, aprieta
¡Ahí, ahí, ahí, vamo' allá!
[Refrán]
No
, no te puedo olvidar
No, no te puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
[Verso 3]
Ay, yo con cualquiera me puedo acostar
Pero no con cualquiera quiero despertar
Solo con usted, con usted
Yo bailo con usted, na' más con usted
Un beso donde estés, donde estés, bebé
[Refrán]
No, no te puedo olvidar
No, no te 
puedo borrar
Tú me enseñaste a querer
Me enseñaste a bailar
[Verso 4]
Y yo tenía muchas novia'
Pero como tú, ninguna
Ya no tengo mi sol, me paso en la luna
Si te pienso, me tiro de una
Eh-eh, mi diabla, mi ángel, mi loquita
Mi diabla, mi ángel, mi loquita, eh-eh",
"[Intro: Tito Double P]
One, two, three
One, two, three
[Verse 1: Peso Pluma & 
Tito Double P
]
A few drinks for the stomach
That white powder, honestly, just won't come down
I'm all mixed up because you won't tell me what's going on
Two days mad, two days without talking to me
Another one of your tantrums
I'm here with the guys, and you're always exaggerating
When you say, ""I love you,"" girl, I just don't believe you at all
Everything I planned went to hell
[Chorus: Peso Pluma & 
Tito Double P
]
Look at what I've become
I love the stacks, I'm crazy about money
Baby, I warned you
That being alone, I'm a total mess
It wasn't me, it was bеcause of you
That I got addicted to this madness
Chеck out what I got
A bunch of girls, and none of them fill me up
[Interlude: Tito Double P &  
Peso Pluma
]
Oh mama
Tito Double P, ah
This is how the fucking Double P sounds, buddy Tito
Ay-ay-ay
Bye
[Verse 2: Peso Pluma & 
Tito Double P
]
The powder doesn't even work for me anymore
You're half-answering, my girl, just tell me what's up
I remembered the nights we fucked in your living room
'Cause I passed by your house and said hi to your mom
[Chorus: Peso Pluma & 
Tito Double P
]
Look at what I've become
I love the stacks, I'm crazy about money
Baby, I warned you
That being alone, I'm a total mess
It wasn't me, it was because of you
That I got addicted to this madness
Check out what I got
A bunch of girls, and none of them fill me up",
"[Letra de ""NADIE""]
[Verso]
Ya no llames, bebé
Ya no te quiero ver, mucho menos saber el por qué te marchaste
Encontré amores nuevos, mucho más bonitas que la que tenía antes
Por favor, ya no me marques
Evítame la pena de tratarte bien culero como si tú fueras nadie
Ya me enfiesté otra vez
Ya no quiero saber, solo quiero beber para no recordarte
Fueron mil noches enteras, pero estar con otra me hizo recordarte
Como te lo hacía antes
Bajo la luna llena nos estorbó to'a la ropa, hasta la Fendi te quitaste
[Coro]
Las Dom Péri por acá
Mota cherry por allá
¿Qué es lo que quiere, mija?
Lo que quieras te daré
Dos, tres noches sin parar
Otra borrachera más
Por ti el polvo iba a dejar, pero preferiste otro querer
[Post-Coro]
Que según sí te valorara, pero los detalles no mirabas
Todo el amor que yo te daba
Todo lo que empieza también algún día se acaba
Que según sí te valorara, pero los detalles no mirabas
Todo el amor que yo te daba
Todo lo que empieza también algún día se acaba
[Interludio]
Ay, linda
Tito Double P
Lero, lero, lero, como balero, mija
¡Uh!
[Coro]
Las Dom Péri por acá
Mota cherry por allá
¿Qué es lo que quiere, mija?
Lo que quieras te daré
Dos, tres noches sin parar
Otra borrachera más
Por ti el polvo iba a dejar, pero preferiste otro querer
[Post-Coro]
Que según sí te valorara, pero los detalles no mirabas
Todo el amor que yo te daba
Todo lo que empieza también algún día se acaba
Todo algún día se acaba
[Outro]
Y se acabó, chiquita
Tito Double P
¡Ah!",
"[Intro]
Abracadabra, abracadabra
Abracadabra, abracadabra
[Verse 1]
Pay the toll to the angels
Drawin' circles in the clouds
Keep your mind on the distance
When the devil turns around
[Refrain]
Hold me in your heart tonight
In the magic of the dark moonlight
Save me from this empty fight
In the game of life
[Pre-Chorus]
Like a poem said by a lady in red
You hear the last few words of your life
With a haunting dance, now you're both in a trance
It's time to cast your spell on the night
[Chorus]
""Abracadabra, amor-ooh-na-na
Abracadabra, morta-ooh-ga-ga
Abracadabra, abra-ooh-na-na""
In her tongue she said, ""Death or love tonight""
[Post-Chorus]
Abracadabra, abracadabra
Abracadabra, abracadabra
Feel the beat under your feet, the floor's on firе
Abracadabra, abracadabra
[Verse 2]
Choose the road on the wеst side
As the dust flies, watch it burn
Don't waste time on a feelin'
Use your passion, no return
[Refrain]
Hold me in your heart tonight
In the magic of the dark moonlight
Save me from this empty fight
In the game of life
[Pre-Chorus]
Like a poem said by a lady in red
You hear the last few words of your life
With a haunting dance, now you're both in a trance
It's time to cast your spell on the night
[Chorus]
""Abracadabra, amor-ooh-na-na
Abracadabra, morta-ooh-ga-ga
Abracadabra, abra-ooh-na-na""
In her tongue she said, ""Death or love tonight""
[Post-Chorus]
Abracadabra, abracadabra
Abracadabra, abracadabra
Feel the beat under your feet, the floor's on fire
Abracadabra, abracadabra
[Bridge]
Phantom of the dance floor, come to me
Sing for me a sinful melody
Ah, ah, ah
Ah, ah, ah
[Chorus]
""Abracadabra, amor-ooh-na-na
Abracadabra, morta-ooh-ga-ga
Abracadabra, abra-ooh-na-na""
In her tongue she said, ""Death or love tonight""",
"Siento un vacío muy frío por dentro, mi amor
Cuando te fuiste, te robaste mi corazón
Me quedé loco de tanto pensar y pensar
Me iré al infierno, pero me tengo que vengar
Siento un vacío muy frío por dentro, mi amor
Cuando te fuiste, te robaste mi corazón
Me quedé loco de tanto pensar y pensar
Me iré al infierno, pero me tengo que vengar
Quiero manchar el vestido blanco de rojo
Sé que el altar de Dios es santo, pero, mi amor
Cien invitados, y todos tendrán que mirar
Que nuestro amor va al más allá
Quiero que bailemos juntos
En el cielo, el infierno, pero sin ese puto
El que te ha apartado todo este tiempo de mí
Al inconsciente que hizo que no fueras pa mí
Danza, una danza eterna
Pero me voy contigo, pero no vamos juntos
Llevo tres noches malditas sin poder dormir
Solo pensando y pensando que eres para mí, pa mí
¡Uh!
Me despido de ti para siempre, chiquitita
Ahí le va pa todos los que traen el corazón roto
¡Uh!
Y su compa Oscar Maydon
Y Fuerza Regida
Camino lento, me duele la respiración
A mil por hora, latidos de mi corazón
En el pasillo me vienen recuerdos, flashbacks
Prometimos que los dos iríamos al altar
Te quitó el velo, aceptaste y luego te besó
Ya has consumado los votos sagrados, mi amor
Un frío muy intenso se llevó todo mi ser
Ya no hay razón pa estar de pie
Quiero que bailemos juntos
En el cielo, el infierno, pero sin ese puto
Al que te ha apartado todo este tiempo de mí
Al inconsciente que hizo que no fueras pa mí
Danza, una danza eterna
Pero me voy contigo, pero no vamos juntos
Llevo tres noches malditas sin poder dormir
Solo pensando y pensando que eras para mí
Miro cómo brillan tus ojos
Me resigno a perderte, y esta vez para siempre
Me arrepentí de quitarte tu felicidad
Te dejaré, una familia puedas comenzar
Me despido, me despido pa siempre
Y te deseo suerte y bendigo mi muerte
Se la dedico al amor que nunca funcionó
A la persona que roto tiene el corazón",15
"[Intro: JOP]
Fuerza Regida
[Verse: JOP]
Chula, what beautiful eyes
Tell me if you're with your man
I’m not jealous at all
Just asking because I’m sneaky
She lies, and I play dumb
She says this is special
But I know I’m the other guy
I can tell from her actions
[Pre-Chorus: JOP & 
Payo Solís
]
Because the way you call me isn’t normal
I saw you saved me under a different name on WhatsApp
Crazy girl, you use me to misbehave
To misbehave
If you knew that because of you, I’m up all night
You call me when that guy leavеs
And I rush over
Baby, you enchant me, just tеll me what’s up
If they knew that because of you, I’m up all night
You call me when that guy leaves
And I rush over
Baby, you enchant me, just tell me what’s up
[Chorus: Payo Solís]
I’m on my way, I’m on my way
You tell me, “Come over, come here”
And there I go, I’m on my way
Super tired, but I’ll be there
You say I should come, I’m on my way
You tell me, “Come over, come here”
And there I go, I’m on my way
Super tired, but I’ll be there
[Interlude: Julián Peña Jr. & 
JOP
]
And this is Grupo Frontera
Fuerza Regida
[Pre-Chorus: Payo Solís & 
JOP
]
Because the way you call me isn’t normal
I saw you saved me under a different name on WhatsApp
Crazy girl, you use me to misbehave
To misbehave
If you knew that because of you, I’m up all night
You call me when that guy leaves
And I rush over
Baby, you enchant me, just tell me what’s up
If they knew that because of you, I’m up all night
You call me when that guy leaves
And I rush over
Baby, you enchant me, just tell me what’s up
[Chorus: JOP & 
Payo Solís
]
I’m on my way, I’m on my way
You tell me, “Come over, come here”
And there I go, I’m on my way
Super tired, but I’ll be there
You say I should come, I’m on my way
You tell me, “Come over, come here”
And there I go, I’m on my way
Super tired, but I’ll be there
[Outro Instrumental]",
"[Intro]
I'm homophobic but I'm gay
[Verse 1]
I did not tell my mother I got married
Men need buried
You tasted just like cherries
I hope we can hang again in our twenties
You gave me parantese
We had a lot of attendees
I miss our progenies
We don't need no frenchies
[Chorus]
I was bottom
You were as pretty as a blossom
Let's go to Gotham City and show off all of our pretty
Yeah, you were shitty to me after, but I have to admit, I'm guilty
We were so slutty
I was so lucky you were my key
Wherе did our debris go? (Oh, woah)
Gotham City, such a pity we had to get rid of thе pretty
[Verse 2]
Your skin felt like silk (This is just a chitty)
We didn't need no side dick
We was thick like a side chick, yeah
I want us back again, yeah
If you needed a ren, I'd be your tien, yeah
Fuck Adrian, yeah, me and him could only last a circadian
Let the aliens come and get us
I don't want to be a Sapien no more
I just wanna be, ""Anna's Spalpeen"" (Oh, woah)
It can only mean a sad scene
Between me and you, we each other's vaccine
You like my caffeine
I cried over you behind the screen
If you were in a situation, I'd intervene and give a scene
Because I, I love you, make me serene
See upcoming pop shows
Get tickets for your favorite artists
You might also like
Teardrops
Prada Desperado
She
Prada Desperado
Die With A Smile
Lady Gaga & Bruno Mars
[Chorus]
I was bottom (Bottom)
You were as pretty as a blossom (Blossom)
Let's go to Gotham City and show off all of our pretty
Yeah, you were shitty to me after, but I have to admit, I'm guilty (Guilty)
We were so slutty
I was so lucky you were my key
Where did our debris go? (Oh, woah, baby)
[Outro]
Gotham City, such a pity (Such a pity)
Gotham City, such a pity (Mmm)",
"[Intro: Bobby DeBarge]
I used to think about immature things
You know, like
Do you love me? Do you want me?
Are you gon' call me like you said you would?
Is this really your real phone number?

[Chorus: Kendrick Lamar, SZA & Both]
Some of y'all gon' get washed (Washed)
Some of y'all just gon' pop shit
Some of y'all just gon' talk (Talk)
But none of y'all ain't really 'bout shit
Some of y'all just look lost (Lost, yeah)
I get this type of feeling you ain't accustomed to
I swear I'd be at peace if it weren't for you (Yeah, yeah)
Only want your love if it's solid
But if it's fuck me, then fuck you (Huh)
And that's the way I like it
That's the way I like it
And that's the way I like it
Ain't crackin' a smile for none of these bitches
That's the way I like it
I'm wipin' 'em down in front of they nigga
That's the way I like it
I'm thirty for thirty, I'm thirty for thirty, I'm thirty for thirty, I'm thirty for thirty, I'm
See upcoming R&B shows
Get tickets for your favorite artists

You might also like
BMF
SZA
luther
Kendrick Lamar & SZA
Not Like Us
Kendrick Lamar
[Post-Chorus: SZA]
Chat
Should I fold that bitch, no yoga mat?
Chat
Should I dead that nigga? Don't hit me back
Chat
Should've ran down on you, no questions asked
Chat, chat, they chattin', they chat

[Verse 1: SZA]
When the sun go down, everything make me feel lonely, yeah
Had a lil' side thing, but right now, he's just the homie
Tryna feel good inside, he never wanna hold me
Hype me up, you get me hyped, you my favorite coach
Come press the line
Fucking stress off, that's my only vice
I take it off when he tell me if I'm feelin' fine
I run it up, risk it all like I'm rolling dice
Takin' it all, it's my second life
That's me (That's me)
Passed out in a nigga backseat (Backseat)
Crashed out on a black-sand beach (Uh)
Already know my body
Already know that's me
Bitch shit, then you might get minked
Mink, mink, mink
Only want the love if it's solid


[Chorus: Kendrick Lamar, SZA & Both]
Some of y'all gon' get washed (Washed)
Some of y'all just gon' pop shit
Some of y'all just gon' talk (Talk)
But none of y'all ain't really 'bout shit
Some of y'all just look lost (Lost, yeah)
I get this type of feeling you ain't accustomed to
I swear I'd be at peace if it weren't for you (Yeah, yeah)
Only want your love if it's solid
But if it's fuck me, then fuck you (Huh)
And that's the way I like it

[Verse 2: Kendrick Lamar & SZA]
Everything been otay (Otay)
They salute me so damn much, every time I show up, nigga about-face
Everything no cut, I fuck y'all up, I'm really gon' trip 'bout bae (Mm-mm)
Blow the '87 guts, why they waitin' on us? Tell 'em I was on PCH
You fuckin' with niggas that's thinkin' they cuter than you, oh
Say you on your cycle, but he on his period too, oh
The tables been turnin' so much, I was thinkin' it's foosball
The tenderness of 'em, mistakin' 'em for some wagyu, oh
Walk, talk like Kenny, like boss
Like Solána, I promise, more buzz, it's a wasp
It's a crater or a spaceship, shut the fuck up, get lost
No favors, I'll wager whatever you worth, I ball
Somethin' about a conservative, regular girl that still can beat a bitch ass
Thorough as fuck, don't need your bitch ass
Psychic as fuck, can read your bitch ass
Zodiac sign, it must be a Gemini moon 'cause, shit, we about to go half
Mistakenly, nobody been in they bag, but how many bodies done been in her bed?

[Chorus: Kendrick Lamar, SZA & Both]
Some of y'all gon' get washed (Washed)
Some of y'all just gon' pop shit
Some of y'all just gon' talk (Talk)
But none of y'all ain't really 'bout shit
Some of y'all just look lost (Lost, yeah)
I get this type of feeling you ain't accustomed to
I swear I'd be at peace if it weren't for you (Yeah, yeah)
Only want your love if it's solid
But if it's fuck me, then fuck you (Huh)
And that's the way I like it
That's the way I like it
That's the way I like it
Ain't crackin' a smile for none of these bitches
That's the way I like it
I'm wipin' 'em down in front of they nigga
That's the way I like it
I'm thirty for thirty, I'm thirty for thirty, I'm thirty for thirty, I'm thirty for thirty, I'm

[Post-Chorus: SZA]
Chat
Should I fold that bitch, no yoga mat?
Chat
Should I dead that nigga, no strings attached?
Chat
Should've ran down on you, no questions asked
Chat, they chattin', they chattin', they chat

[Outro: SZA & Kendrick Lamar]
Chat
Do I let him bump his gums or get him whacked?
Chat
Do I take his head off and wear it for fashion?
Chat
Do I do my stuff and take it to the max?
Chat, they chattin', they chattin', they chat",18
"[Letra de ""NUEVAYoL""]
[Intro]
¡Nueva Yol!
[Coro: Andy Montañez & 
Bad Bunny
]
Si te quieres divertir
Con encanto y con primor
Solo tienes que vivir (
¿Pa' dónde?
)
Un verano en Nueva York (
¡Nueva York!
)
Si te quieres divertir
Con encanto y con primor (
¿Pero qué es esto?
)
Solo tienes que vivir (
¿Y este frío?
)
Un verano en Nueva York (
Un ratito na' má'
)
[Verso 1: Bad Bunny]
Ey, ey, ey, 4 de julio, 4th de July
Ando con mi primo, borracho, rulay
Los mío' en El Bronx saben la que hay
Con la nota en high por Washington Heights
Willie Colón, me dicen ""еl malo"", ey
Porque pasan los año' y sigo dando palo'
Vendiеndo disco' como cuadro' 'e Frida Kahlo
El perico es blanco, sí, sí, el tusi rosita, eh, eh
No te confunda', no, no, mejor evita, ey (Ey)
Un shot de cañita en casa de Toñita y PR se siente cerquita
Sí, sí, sí, como el campeonato, nadie me lo quita
The best in the world
Number one, the best in the world, ¿okey? ¡Puerto Rico!
¿Cómo Bad Bunny va a ser rey del pop, ey, con reggaetón y dembow?
Ey, con reggaetón y dembow, sí, con reggaetón y dembow
¿Cómo Bad Bunny va a ser rey del pop, ey, con reggaetón y dembow?
Me siento como el Lapiz en ""Capea El Dough""
Cuando yo nací, fue que nació el flow
De la'o a la'o, ping-pong (Pong)
Un flow pesa'o, Big Pun (Pun)
Con silenciador les robamo' las gata', James Bond, ey
Yo estoy en la mía, no tengo adversario, no
Con Los Yankee' y Los Met', Juan Soto
A correr, que otra ve' la sacamo' 'el estadio (Ey)
[Coro: Andy Montañez & 
Bad Bunny
]
Si te quieres divertir
Con encanto y con primor
Solo tienes que vivir (
Ya mismo nos vamo'
)
Un verano en Nueva— (
Un ratito má', un ratito
)
[Interludio: Bad Bunny]
Shh, cuida'o, que nadie nos escuche
Shh, cuida'o, que nadie nos escuche
Shh, cuida'o, que nadie nos escuche
Shh, cuida—
[Verso 2: Bad Bunny]
Tú tiene' piquete, mami, yo también
Tú estás buena, yo estoy bueno también
Huelo rico y ando con los de cien
Si tú lo quiere', lo tiene' que mover
Tú tiene' piquete, mami, yo también
Tú estás buena, yo estoy bueno también
Huelo rico y ando con los de cien
Si tú lo quiere', lo tiene' que mover
[Outro: Bad Bunny]
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Lo tiene' que move'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'-ve'
Shh",
"[Intro]
(But I wanna stay)
[Verse 1]
I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm goin' too, uh
'Cause it was always you (Alright)
And if I'm turnin' blue, please don't save me
Nothin' left to lose without my baby
[Refrain]
Birds of a feather, we should stick together
, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better
[Pre-Chorus]
And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I
[Chorus]
I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die
[Verse 2]
I want you to see, hm
How you look to me, hm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid
[Pre-Chorus]
And I don't know what I'm cryin' for
I don't think I could love you more
Might not be long, but baby, I
Don't wanna say goodbye
[Chorus]
Birds of a feather, we should stick together,
 I know 
('Til the day that I die)
I said I'd never think I wasn't better alone
 
('Til the light leaves my eyes)
Can't change the weather, might not be forever
 
('Til the day that I die)
But if it's forever, it's even better
[Post-Chorus]
I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised",
"[Letra de ""ROSONES""]
[Intro]
Ay
Tito Double P
Ay, mamá
¡Uh!
[Verso 1]
Putas, lavada, botellas de cristal
La paca llega, la quiero reventar
Traigo a la más buena de todo Instagram
Cuerpo bonito, ese culo es natural
Tú quieres un novio, chocolate y flores
Yo te regalo, mija, hasta unos rosones
Pero no cuentes que prendimos los blones
Porque tus amigas van a envidiarte
[Coro]
Las putas, lavada, cómo me encanta lo que hace la fama
Parezco de la maña, me veo bien placoso de Dolce & Gabbana
Traigo buen respaldo y un chingo de morras conocen mi cama
Mi amor, no soy celoso
Mija, no te preocupes, que aquí no hay falla
[Interludio]
Que aquí no hay falla
¡Uh!
Ay, mamá
[Verso 2]
Vuelo privado, de motita las flores
Véngase, mami, ven, dame unos sentones
Amanecido, ya van dos loquerones
No es mi culpa si ella solita se pone
Le piso la cuadrada y unos gallones
Pisteando, a la verga, suenan los corridones
Mi bandolera está llena de pacones
Traigo pa' cualquier putero mamarme
[Coro]
Las putas, lavada, cómo me encanta lo que hace la fama
Parezco de la maña, me veo bien placoso de Dolce & Gabbana
Traigo buen respaldo y un chingo de morras conocen mi cama
Mi amor, no soy celoso
Mija, no te preocupes, que aquí no hay falla
[Outro]
Ah-ja-jay
Que aquí no hay falla
Aquí no hay falla, mija",
"[Letra de ""EL LOKERÓN""]
[Verso 1]
Con la gorrita de lado, los ojos tumbados y cargo un placón
Loco cabrón, así me dicen que soy
Los plebes andan ondeados, si bajan los vidrios, un humaderón
Sale el olor a pura flor
Tengo llamadas perdidas, mi morra ya varias veces me marcó
Quiere que ya me regrese pa'l cantón
Y que la dé por perdida, no hay pedo, aquí tengo a su amiga a un lado
Y lo mueve mucho mejor, mucho mejor
[Coro]
No te tengo aquí, a mi lado, pero me la paso chingón
Van cuatro días enfiestado, encerrado, traigo un loquerón
Un loquerón, no es por amor el loquerón
[Interludio]
Tito Double P
El loquerón, mi pa
Ay, mamá
[Verso 2]
Pata a fondo, acelerado, bien adiamantado traigo el Rolexón
Y atrás de mí viene un convoy (Convoy)
Los plebes andan ondeados, las puntas por fuera, se ve el blindadón
Y en el depa un reventón
Ya empezó y pónganse pilas, que las bandidas llegarán en calor
Y ahí vienen dos pa' Miguelón
No se me duerma, plebada, que ahí vienen morritas de medio millón
En el TikTok, de lo mejor, de lo mejor
[Coro]
No te tengo aquí, a mi lado, pero me la paso chingón
Van cuatro días enfiestado, encerrado, traigo un loquerón
Un loquerón, no es por amor el loquerón
[Outro Instrumental]",
"[Verse 1]
Things fall apart
And time breaks your heart
I wasn't there, but I know
She was your girl
You showed her the world
But fell out of love and you both let go
[Pre-Chorus]
She was cryin’ on my shoulder
All I could do was hold her
Only made us closer until July
Now, I know that you love me
You don't need to remind me
I should put it all behind me, shouldn't I?
[Chorus]
But I see her in the back of my mind all the time
Like a fever, like I’m burning alive, like a sign
Did I cross the line?
(Mm) Hmm
[Verse 2]
Well, good things don't last (Good things don't last)
And life moves so fast (Life moves so fast)
I'd never ask who was better (I'd never ask who was better)
'Cause she couldn't be (Couldn't)
More different from me (Different)
Happy and free in leather (Happy)
[Pre-Chorus]
And I know that you love me (You love me)
You don’t need to remind me (Remind me)
Wanna put it all behind me, but baby
[Chorus]
I see her in the back of my mind (Back of my mind) all the time (All the time)
Feels like a fever (Like a fever), like I’m burning alive (Burning alive), like a sign
Did I cross the line?
[Bridge]
You say no one knows you so well (Oh)
But every time you touch me, I just wonder how she felt
Valentine's Day, cryin’ in the hotel
I know you didn't mean to hurt me, so I kept it to myself
[Chorus]
And I wonder
Do you see her in the back of your mind in my eyes?
[Outro]
You say no one knows you so well
But every time you touch me, I just wonder how she felt
Valentine's Day, cryin' in the hotel
I know you didn’t mean to hurt me, so I kept it to myself",
"[Verse 1: Neton Vega & 
Peso Pluma
]
Look, who would think it?
The boy went up
He has more than enough quality
He has overcome several of them walking in the patrol car
The desire to improve myself at night disturbs me
I'm still the same, except that I change the plans and the media buzz
And suddenly we’re going partying
Because today you can do what you like
The double-sided ones are on my nerves
And the worst part is that there are plenty of those
[Chorus: Peso Pluma]
I'll die if you're not here
Come here, my baby, mom
Come, dial me on my cell phone
I want to caress you and brush your hair
[Interlude: Peso Pluma & 
Neton Vega
]
Just like that, friend Neton, pa ’let them know, dude
And this is how the Double P sounds, dude
Pull your hair
[Verse 2: Peso Pluma]
I have learned everything from the old man, very firm with his flag
Forbidden to say his name, he goes around the world and waits in his jet
He senses the danger and the Glock draws
I'm not saying the name in case you're wondering
A blunt from Bubba here is going to catch me
He's gotten rid of several of them walking in the patrol
[Chorus: Neton Vega]
I'll die if you're not here
Come over here, my baby, mom
Come on, dial me on my cell phone
I want to caress you and touch your hair",
"Desde Los Ángeles, California
De parte de Rancho Humilde
Les presentamos ""Hollywood"", by Estevan Plazola
¡Eh!
No quiero acostarme, no puedo dormir
No puedo acabar, no me puedo rendir
Tantos recuerdos, logros que viví
Razones me sobran para sobrevivir
No todo es como parece
Neta, yo soy prueba en vivo
No me creen yo se los digo, hold up
Vivo muy a prisa, la vida de artista
Drogas y mujeres
Otra más para la lista, en el ambiente
Con figuras grandes, citas importantes
Caviar y otras comidas elegantes
Veinte mil como si nada, mucha ropa que es de marca
Puras dieces son mis damas desde antes de la fama
Pero, déjame empezar, siéntense, les vo'a contar
Lo que no sabían de mí, toa la verdad
Me arrestaron a los 15 años por querer lograr todos mis sueños
Le marcaron a mis jefes, les dijeron que no andaba en nada bueno
Doble pantalón para aguantar los cintarazos
Cuando me corrieron yo me sentí abandonado
Son las cosas que uno va pensando
Rolando un cigarro, paseando por Hollywood
Son las cosas que uno va pensando
Rolando un cigarro, paseando por Hollywood
No quiero acostarme, no puedo dormir
No puedo acabar, no me puedo rendir
Tantos recuerdos, logros que viví
Razones me sobran para sobrevivir
¡Yeah!
Grafx
Match one, player
Adquiero lo que yo admiro, pocos saben de lo que hablo
Lo tomo como lo tengo porque firme con el diablo
Nuestra generación piensa diferente
Mira el presidente, otro más para la lista de corrupto
Poder absoluto, viven puro lujo
Mientras que uno aquí valiendo mero
Yo seguiré avanzando
Pero yo seguiré avanzando
Son las cosas que uno va pensando
Rolando un cigarro, paseando por Hollywood
Son las cosas que uno va pensando
Rolando un cigarro, paseando por Hollywood
No quiero acostarme, no puedo dormir
No quiero acabar, no me puedo rendir
Tantos recuerdos, logros que viví
Razones me sobran para sobrevivir
¡Yeah!
Estevan Plazola
¡Sheesh!",25
